import_key,korean_text,korean_text_normalized,romanization,register,difficulty_level,provenance_type,source_note,license_note,status
v2-ex-001,그 학생은 학교에서 한국어를 배워요.,그 학생은 학교에서 한국어를 배워요.,,neutral,beginner,original,,,draft
v2-ex-002,이 로봇은 사람처럼 말하고 움직여요.,이 로봇은 사람처럼 말하고 움직여요.,,neutral,beginner,original,,,draft
v2-ex-003,그분은 부산 사람이에요.,그분은 부산 사람이에요.,,neutral,beginner,original,,,draft
v2-ex-004,민수 씨는 능력도 좋지만 사람도 참 괜찮아요.,민수 씨는 능력도 좋지만 사람도 참 괜찮아요.,,neutral,intermediate,original,,,draft
v2-ex-005,교실에 세 사람이 있어요.,교실에 세 사람이 있어요.,,neutral,beginner,original,,,draft
v2-ex-006,민지는 제 오랜 친구예요.,민지는 제 오랜 친구예요.,,neutral,beginner,original,,,draft
v2-ex-007,새로 온 그 친구는 저보다 한 살 어려요.,새로 온 그 친구는 저보다 한 살 어려요.,,neutral,intermediate,original,,,draft
v2-ex-008,오늘은 쉴 시간이 별로 없어요.,오늘은 쉴 시간이 별로 없어요.,,neutral,beginner,original,,,draft
v2-ex-009,회의가 세 시간 동안 계속됐어요.,회의가 세 시간 동안 계속됐어요.,,neutral,beginner,original,,,draft
v2-ex-010,운동한 뒤에 물을 한 잔 마셨어요.,운동한 뒤에 물을 한 잔 마셨어요.,,neutral,beginner,original,,,draft
v2-ex-011,호수의 물이 아주 맑아요.,호수의 물이 아주 맑아요.,,neutral,beginner,original,,,draft
v2-ex-012,내일 도서관에 가요.,내일 도서관에 가요.,,neutral,beginner,original,,,draft
v2-ex-013,저는 아침마다 라디오를 들어요.,저는 아침마다 라디오를 들어요.,,neutral,beginner,original,,,draft
v2-ex-014,점심으로 김밥을 먹었어요.,점심으로 김밥을 먹었어요.,,neutral,beginner,original,,,draft
v2-ex-015,감기약을 하루에 세 번 먹어요.,감기약을 하루에 세 번 먹어요.,,neutral,beginner,original,,,draft
v2-ex-016,창밖을 보니 비가 오고 있었어요.,창밖을 보니 비가 오고 있었어요.,,neutral,intermediate,original,,,draft
v2-ex-017,어제 극장에서 영화를 봤어요.,어제 극장에서 영화를 봤어요.,,neutral,beginner,original,,,draft
v2-ex-018,지도를 보고 목적지까지 가는 길을 찾았어요.,지도를 보고 목적지까지 가는 길을 찾았어요.,,neutral,beginner,original,,,draft
v2-ex-019,예약 내용을 다시 봤어요.,예약 내용을 다시 봤어요.,,neutral,beginner,original,,,draft
v2-ex-020,다음 주에 한국어 시험을 봐요.,다음 주에 한국어 시험을 봐요.,,neutral,beginner,original,,,draft
v2-ex-021,이번 경험을 통해 정말 많은 것을 배웠어요.,이번 경험을 통해 정말 많은 것을 배웠어요.,,neutral,intermediate,original,,,draft
v2-ex-022,요즘 매일 저녁 한국어를 공부해요.,요즘 매일 저녁 한국어를 공부해요.,,neutral,beginner,original,,,draft
v2-ex-023,저녁마다 공원에서 삼십 분 정도 걸어요.,저녁마다 공원에서 삼십 분 정도 걸어요.,,neutral,beginner,original,,,draft
v2-ex-024,공책에 새 단어를 써 보세요.,공책에 새 단어를 써 보세요.,,neutral,beginner,original,,,draft
v2-ex-025,그 친구는 마음이 따뜻해서 항상 다른 사람을 도와줘요.,그 친구는 마음이 따뜻해서 항상 다른 사람을 도와줘요.,,neutral,intermediate,original,,,draft
v2-ex-026,저는 그 질문의 답을 몰라요.,저는 그 질문의 답을 몰라요.,,neutral,beginner,original,,,draft
v2-ex-027,내일 비가 올지 모르겠어요.,내일 비가 올지 모르겠어요.,,neutral,beginner,original,,,draft
v2-ex-028,아버지가 우리 가족을 위해 작은 집을 지어 주셨어요.,아버지가 우리 가족을 위해 작은 집을 지어 주셨어요.,,neutral,intermediate,original,,,draft
v2-ex-029,저는 이 앱을 매일 써요.,저는 이 앱을 매일 써요.,,neutral,beginner,original,,,draft
v2-ex-030,제 친구는 지금 서울에서 살고 있어요.,제 친구는 지금 서울에서 살고 있어요.,,neutral,beginner,original,,,draft
v2-ex-031,이 책은 설명이 아주 좋아요.,이 책은 설명이 아주 좋아요.,,neutral,beginner,original,,,draft
v2-ex-032,이 방은 생각보다 훨씬 커요.,이 방은 생각보다 훨씬 커요.,,neutral,beginner,original,,,draft
v2-ex-033,이 가방은 제 노트북을 넣기엔 좀 작아요.,이 가방은 제 노트북을 넣기엔 좀 작아요.,,neutral,intermediate,original,,,draft
v2-ex-034,방이 너무 추워서 공부하기가 어려워요.,방이 너무 추워서 공부하기가 어려워요.,,neutral,intermediate,original,,,draft
v2-ex-035,이 기차는 버스보다 훨씬 빨라요.,이 기차는 버스보다 훨씬 빨라요.,,neutral,beginner,original,,,draft
v2-ex-036,이 문제는 생각보다 어려워요.,이 문제는 생각보다 어려워요.,,neutral,beginner,original,,,draft
v2-ex-037,상황이 정말 그렇다면 계획을 바꿔야겠어요.,상황이 정말 그렇다면 계획을 바꿔야겠어요.,,neutral,intermediate,original,,,draft
v2-ex-038,겨울이 되면 산이 눈으로 하얘져요.,겨울이 되면 산이 눈으로 하얘져요.,,neutral,beginner,original,,,draft
v2-ex-039,이 식당은 한국 음식으로 유명해요.,이 식당은 한국 음식으로 유명해요.,,neutral,beginner,original,,,draft
v2-ex-040,냉장고에 오래 둔 음식은 먹지 않는 게 좋아요.,냉장고에 오래 둔 음식은 먹지 않는 게 좋아요.,,neutral,intermediate,original,,,draft
v2-ex-041,나라마다 식사 문화가 조금씩 달라요.,나라마다 식사 문화가 조금씩 달라요.,,neutral,beginner,original,,,draft
v2-ex-042,사람의 마음은 겉으로 다 알 수 없어요.,사람의 마음은 겉으로 다 알 수 없어요.,,neutral,intermediate,original,,,draft
v2-ex-043,시험이 끝나니 마음이 한결 가벼워졌어요.,시험이 끝나니 마음이 한결 가벼워졌어요.,,neutral,intermediate,original,,,draft
v2-ex-044,이번에는 끝까지 해 볼 마음이에요.,이번에는 끝까지 해 볼 마음이에요.,,neutral,intermediate,original,,,draft
v2-ex-045,저는 매운 음식을 좋아해요.,저는 매운 음식을 좋아해요.,,neutral,beginner,original,,,draft
v2-ex-046,저는 주말에 사진 찍는 걸 좋아해요.,저는 주말에 사진 찍는 걸 좋아해요.,,neutral,beginner,original,,,draft
v2-ex-047,우리 반 학생들은 담임 선생님을 정말 좋아해요.,우리 반 학생들은 담임 선생님을 정말 좋아해요.,,neutral,beginner,original,,,draft
v2-ex-048,그 사람은 무서운 소식을 듣고 얼굴이 하얗게 질렸어요.,그 사람은 무서운 소식을 듣고 얼굴이 하얗게 질렸어요.,,neutral,intermediate,original,,,draft
